epoch;loss;lr;yolo_layer_1_loss;yolo_layer_2_loss;yolo_layer_3_loss
0;526.9080657958984;1e-04;52.87567;148.13052;325.9019
1;353.46273040771484;1e-04;30.767813;93.44504;229.24988
2;339.51944732666016;1e-04;30.247791;89.99192;219.27975
3;58.57391548156738;1e-04;8.535546;12.883232;37.155136
4;56.744102478027344;1e-04;8.24858;12.203129;36.292393
5;47.0639591217041;1e-04;6.5614204;9.919052;30.583488
6;42.61047649383545;1e-04;5.752589;8.675561;28.182327
7;46.95581912994385;1e-04;6.4228044;9.2420225;31.290993
8;43.494585037231445;1e-04;5.743207;8.355038;29.396343
9;34.90401744842529;1e-05;4.2568884;6.4156704;24.231459
10;36.14766263961792;1e-05;4.549906;6.470089;25.127668
11;46.54061508178711;1e-05;6.012911;8.645735;31.881968
12;39.54586887359619;1e-06;5.100999;7.4333043;27.011566
13;33.93114376068115;1e-06;4.2871428;6.1467233;23.497278
14;33.75269556045532;1e-06;4.0763783;6.115443;23.560875
15;35.1363320350647;1e-06;4.2246976;6.239863;24.671772
16;46.49843120574951;1e-06;6.0423207;8.664694;31.791416
17;46.135390281677246;1e-07;5.9600725;8.590807;31.58451
18;41.02120494842529;1e-07;5.1268973;7.5478635;28.346443
19;40.27060794830322;1e-08;5.1056867;7.50599;27.658932
20;41.09749412536621;1e-08;5.2277036;7.57242;28.29737
21;42.20865440368652;1e-09;5.1899095;7.5813394;29.437407
0;47.26700210571289;1e-04;6.286945;8.649883;32.330173
1;30.178436279296875;1e-04;3.4711475;5.4725695;21.234718
2;43.36479568481445;1e-04;5.490897;8.000164;29.873734
3;32.90359878540039;1e-04;3.8611374;5.9670696;23.075392
4;30.96129608154297;1e-05;3.7237582;5.5292006;21.708338
5;38.78573226928711;1e-05;4.754621;6.791971;27.23914
6;32.91266632080078;1e-06;3.9545803;5.8867316;23.071356
7;41.46521759033203;1e-06;4.9976974;7.5598125;28.907705
8;44.77800750732422;1e-07;5.6172447;8.229971;30.93079
0;39.755836486816406;1e-04;4.957851;7.4577107;27.340275
1;29.313880920410156;1e-04;3.6849964;5.155616;20.473269
2;45.8243293762207;1e-04;6.1513224;8.138103;31.534904
3;36.36638641357422;1e-04;4.5350447;6.8765492;24.954794
4;35.65765380859375;1e-05;4.321159;6.2841616;25.052336
5;40.39638900756836;1e-05;4.99673;7.1407304;28.258928
6;31.479570388793945;1e-06;3.5956633;5.4608054;22.423101
7;40.855224609375;1e-06;5.098555;7.1169977;28.639671
8;27.67174530029297;1e-07;3.4174538;4.97874;19.27555
9;38.78598403930664;1e-07;4.640341;6.800563;27.34508
10;31.752511978149414;1e-07;3.9691393;5.8035407;21.979832
11;41.57541275024414;1e-08;4.997548;7.4106493;29.167215
12;41.21870040893555;1e-08;5.0742664;7.3571167;28.787317
13;37.44914245605469;1e-09;4.3790965;6.542955;26.52709
14;37.8187255859375;1e-09;4.835882;6.548768;26.434076
15;31.06456184387207;9.9999994e-11;3.5889513;5.577013;21.898598
0;36.518912887573244;1e-04;4.497255;6.5809336;25.440723
1;30.991609191894533;1e-04;3.4130177;5.4223337;22.15626
2;29.99402961730957;1e-04;3.2419007;4.943106;21.809023
3;26.980104064941408;1e-04;2.688352;4.264899;20.026854
4;22.0445068359375;1e-04;1.9038388;3.2189765;16.921692
5;23.33849105834961;1e-04;2.0491052;3.4477553;17.84163
6;20.219419860839842;1e-04;1.6168125;2.8870924;15.715515
7;19.3139741897583;1e-04;1.4829282;2.7210095;15.110037
8;15.876174354553223;1e-04;1.0034231;2.0541227;12.818628
9;14.866840362548828;1e-04;0.95897245;1.9291446;11.978724
10;12.45958595275879;1e-04;0.6810871;1.4841266;10.294373
11;12.68306007385254;1e-04;0.7050635;1.5612983;10.4166975
12;10.061073112487794;1e-04;0.4782284;1.1108401;8.472005
13;9.069448280334473;1e-04;0.36339924;0.9340919;7.7719574
14;9.067773246765137;1e-04;0.39878207;0.93101406;7.7379775
15;8.596365165710449;1e-04;0.32079738;0.8236216;7.4519463
16;8.343803691864014;1e-04;0.33370084;0.7989131;7.2111893
17;7.4809449195861815;1e-04;0.25854367;0.66791594;6.5544853
18;6.5998838424682615;1e-04;0.20015721;0.5380476;5.861678
19;6.719436931610107;1e-04;0.17660634;0.4728566;6.069974
20;5.797414016723633;1e-04;0.15024695;0.3996288;5.2475386
21;6.08282060623169;1e-04;0.122553274;0.34994975;5.6103177
22;5.656690692901611;1e-04;0.13267484;0.3547278;5.169288
23;5.79021692276001;1e-04;0.1188136;0.31858438;5.352819
24;5.624042510986328;1e-04;0.09957441;0.2748127;5.2496557
25;4.910867309570312;1e-04;0.0779001;0.21864554;4.6143217
26;4.69825382232666;1e-04;0.069717474;0.20086288;4.427674
27;5.001659965515136;1e-04;0.0896093;0.24193218;4.6701183
28;5.675780010223389;1e-04;0.102887295;0.2688269;5.3040657
29;4.718012714385987;1e-05;0.07967827;0.22372994;4.4146047
30;4.6371996879577635;1e-05;0.08131924;0.23031875;4.3255615
31;4.298754358291626;1e-05;0.07780103;0.21912655;4.0018263
